epoch,train_loss,test_loss,train_acc,test_acc
43,2.2731051838306513,1.6315378982543944,54.05,57.83
44,2.2308234531251365,1.8990845594406127,55.568,52.12
45,2.162532560050945,1.6412727495193482,57.326,58.35
46,2.207364668016848,1.6710003768920898,56.674,57.23
47,2.161012468435575,1.6488453327178956,57.374,57.84
48,2.225694864912106,1.5903245807647706,56.294,58.85
49,2.2425237906253552,1.7127643335342406,55.096,56.85
50,2.157824767824939,1.6203626724243163,57.308,58.94
51,2.1907969673576257,1.6831431381225586,56.466,57.08
52,2.162620212720788,1.616574396133423,57.208,59.16
53,2.179682588333364,1.738491134262085,56.804,56.35
54,2.2047727644595954,1.8380433408737182,56.668,54.14
55,2.1478954029205206,1.491325687789917,57.756,61.44
56,2.184873609896511,1.5358927309036254,57.196,61.51
57,2.1884064488398756,1.5457384017944336,57.108,61.06
58,2.152270174392349,1.5982363231658936,58.178,59.13
59,2.157896641880045,1.619681396484375,58.33,58.8
60,2.151082582181067,1.5539463510513305,58.138,60.27
61,2.207580164570333,1.6197546714782716,56.506,58.62
62,2.1158073302120197,1.5964839839935303,59.072,59.58
63,2.189845734240149,1.569075160598755,57.228,60.08
64,2.119479054380256,1.5292289745330812,59.216,61.19
65,2.1728065105350427,1.5933999612808227,57.132,59.75
66,2.1236196954536926,1.5687136417388916,59.2,60.15
67,2.0517077192930917,1.5474865407943725,61.1,60.07
68,2.136161688648526,1.582875477218628,58.984,59.47
69,2.1144118434023063,1.5284656810760497,59.902,60.64
70,2.105564400058268,1.5925499141693116,59.414,60.04
71,2.070597481239787,1.5349994499206543,59.928,60.72
72,2.1396928562227724,1.5101067152023315,59.136,61.73
73,2.0928327207979947,1.4801112777709962,59.812,61.89
74,2.089729294447643,1.7068261447906494,60.264,56.9
75,2.068315670313433,1.4692228132247924,60.534,62.33
76,2.045471477996358,1.5589110790252685,61.29,61.4
77,2.1052686116274666,1.4737997840881347,59.316,63.05
78,2.057485462454579,1.466287873840332,60.52,62.56
79,2.112797098391501,1.5533280111312866,58.836,60.56
80,2.043868742940371,1.394270867729187,61.118,64.58
81,2.121972513320806,1.4476692771911621,59.664,64.04
82,2.0887255046678628,1.5499511531829835,60.018,60.77
83,2.0685584081713198,1.5841387979507446,61.036,60.29
84,2.0418422755682863,1.5792494583129884,61.228,60.6
85,2.0415243934792326,1.6798863313674928,61.858,57.74
86,2.0631852857292157,1.629815705871582,60.646,59.06
87,2.03431086345097,1.528249219894409,61.238,61.28
88,2.0782621827576775,1.4576717140197755,60.378,63.03
89,2.0878494974902218,1.4212771728515625,60.334,63.79
90,2.065842327864274,1.579528685951233,60.434,60.07
91,1.9921918089127602,1.4791051132202149,62.276,62.64
92,2.0546056779144366,1.5622414464950563,61.542,60.94
93,2.069422591067946,1.4863828966140746,60.83,63.4
94,2.028972241884607,1.4154581563949584,61.808,63.45
95,2.0803746399672134,1.3791653812408446,59.874,64.52
96,2.0732386295142993,1.485045230102539,60.85,62.31
97,2.0391604470474944,1.5258012691497802,61.452,61.14
98,2.0767529163214253,1.4452466896057128,60.4,63.1
99,2.019500117167792,1.533573267364502,61.8,61.57
100,2.104430029154434,1.5147707370758057,60.45,62.15
101,1.9640025729718416,1.4810903953552246,64.06,62.25
102,1.9793411962821355,1.4846787212371826,62.522,62.84
103,2.029862769729341,1.4674176847457885,61.914,63.12
104,1.9900481069789213,1.406040291595459,62.718,64.42
105,2.043953968435907,1.472576410293579,61.444,63.28
106,2.056255943939814,1.496602930831909,61.322,62.24
107,1.9835462304942137,1.4335258110046387,63.176,63.61
108,2.031086606137893,1.5017889619827272,62.0,62.72
109,2.0620368850200683,1.422529482269287,60.166,64.23
110,1.9924657600919913,1.3344232330322265,62.64,65.83
111,1.9934715843566544,1.498171120262146,63.44,62.57
112,1.9890216942638388,1.4221548179626464,62.29,64.4
113,2.0093078238275046,1.3420905601501465,62.79,66.16
114,1.9631493012313648,1.30587248210907,63.734,66.65
115,1.9817664854971648,1.360575174331665,63.838,65.84
116,1.9605663347122309,1.4264139812469483,64.382,63.64
117,2.0140430849531423,1.3113642169952393,62.09,67.52
118,1.9123213495439886,1.3751438097000122,65.614,65.55
119,1.9543758767949955,1.3276803039550782,64.372,67.07
120,1.9701151914913635,1.3750628158569336,63.538,65.1
121,1.8920356111453318,1.423264754676819,65.96,64.46
122,1.9098098846652625,1.3115194904327392,65.004,66.8
123,1.9042709614614697,1.4127567058563233,65.57,64.34
124,1.952335636634046,1.3712091915130615,64.22,65.48
125,1.9747906476640336,1.4065296550750732,63.784,64.73
126,1.8977524252498852,1.3055898780822754,65.714,67.3
127,1.8913593923344332,1.2863862947463989,66.302,67.8
128,1.9385659932480444,1.3393294731140137,64.742,65.77
129,1.887530575627866,1.268542214012146,66.874,68.8
130,1.9181610344316038,1.3407004271507263,64.428,66.7
131,1.9048583858153398,1.3338882192611694,65.076,66.96
132,1.8953311598819236,1.2849647521972656,66.344,67.32
133,1.9061670437493288,1.4037322633743285,66.208,65.68
134,1.8573346552641496,1.294228819656372,67.692,67.77
135,1.8291431633407806,1.32440666847229,68.284,67.35
136,1.8939644936710367,1.3870164548873902,66.798,65.87
137,1.8070998754342804,1.2820414457321168,67.826,67.92
138,1.8516521115437188,1.2475957503318786,67.034,69.07
139,1.8375204859487235,1.2590110570907593,67.552,68.83
140,1.7989098422057794,1.202903556060791,69.176,70.24
141,1.820670436715226,1.2511557331085206,68.51,68.9
142,1.7693021888928036,1.202054663848877,70.26,70.1
143,1.7525428564042387,1.2640070957183838,71.078,68.7
144,1.7965051310751445,1.2487069087982177,69.722,69.1
145,1.7736730647209051,1.1952412958145142,69.736,70.44
146,1.7124215401042149,1.1959826257705688,71.752,70.57
147,1.7587084460746296,1.1992238838195801,70.526,70.12
148,1.7753199825201498,1.2220150184631349,69.992,69.9
149,1.7377332974882687,1.203380253982544,71.0,70.75
